"","Region","Age_lower","Year","Population","Proportion","Data"
"1","Nationwide","0",2000,3259783,0.0693451179095454,NA
"2","Nationwide","5",2000,3521464,0.0749118380868357,NA
"3","Nationwide","10",2000,3129982,0.0665838710260023,NA
"4","Nationwide","15",2000,3842432,0.0817397661437619,NA
"5","Nationwide","20",2000,3854382,0.0819939775925053,NA
"6","Nationwide","25",2000,4352913,0.092599189956814,NA
"7","Nationwide","30",2000,4247992,0.0903672134368471,NA
"8","Nationwide","35",2000,4273079,0.0909008872958116,NA
"9","Nationwide","40",2000,4020438,0.0855264743567339,NA
"10","Nationwide","45",2000,2921443,0.0621476366067975,NA
"11","Nationwide","50",2000,2365862,0.0503288038951406,NA
"12","Nationwide","55",2000,2006389,0.0426817618772216,NA
"13","Nationwide","60",2000,1817056,0.0386540952475202,NA
"14","Nationwide","65",2000,1381212,0.0293824187064228,NA
"15","Nationwide","70",2000,922213,0.0196181675966516,NA
"16","Nationwide","75",2000,608084,0.0129357250709351,NA
"17","Nationwide","80",2000,483387,0.0102830551944536,NA
"18","Seoul","0",2000,612869,0.060809943290793,NA
"19","Seoul","5",2000,647952,0.0642909404377704,NA
"20","Seoul","10",2000,608748,0.0604010504012826,NA
"21","Seoul","15",2000,817882,0.081151694797029,NA
"22","Seoul","20",2000,960812,0.0953334615278524,NA
"23","Seoul","25",2000,1137544,0.112869122325949,NA
"24","Seoul","30",2000,948248,0.094086839284754,NA
"25","Seoul","35",2000,857862,0.0851185809223933,NA
"26","Seoul","40",2000,867078,0.0860330086995658,NA
"27","Seoul","45",2000,688853,0.0683492098077935,NA
"28","Seoul","50",2000,577174,0.0572682224242377,NA
"29","Seoul","55",2000,463292,0.0459686494945544,NA
"30","Seoul","60",2000,351450,0.034871488963464,NA
"31","Seoul","65",2000,226249,0.0224488248868822,NA
"32","Seoul","70",2000,142029,0.0140923679214449,NA
"33","Seoul","75",2000,93140,0.00924151510046104,NA
"34","Seoul","80",2000,77252,0.00766507971377299,NA
"35","Busan","0",2000,212351,0.0568904498972574,NA
"36","Busan","5",2000,248556,0.0665900450888516,NA
"37","Busan","10",2000,242582,0.064989564998406,NA
"38","Busan","15",2000,336564,0.0901680584467252,NA
"39","Busan","20",2000,342433,0.0917404082376233,NA
"40","Busan","25",2000,333836,0.0894372064737196,NA
"41","Busan","30",2000,300209,0.0804282771129204,NA
"42","Busan","35",2000,318568,0.0853467930118978,NA
"43","Busan","40",2000,344416,0.092271669037649,NA
"44","Busan","45",2000,277996,0.0744772452667422,NA
"45","Busan","50",2000,226218,0.0606055247908311,NA
"46","Busan","55",2000,178800,0.0479018815151783,NA
"47","Busan","60",2000,143237,0.0383742830122461,NA
"48","Busan","65",2000,98069,0.026273431869754,NA
"49","Busan","70",2000,63463,0.0170022209541262,NA
"50","Busan","75",2000,38648,0.0103540934943994,NA
"51","Busan","80",2000,26684,0.00714884679167236,NA
"52","Daegu","0",2000,167761,0.0663385086499348,NA
"53","Daegu","5",2000,186419,0.0737165279416085,NA
"54","Daegu","10",2000,174309,0.0689278145949385,NA
"55","Daegu","15",2000,219021,0.0866084876879451,NA
"56","Daegu","20",2000,224365,0.0887216903406788,NA
"57","Daegu","25",2000,238009,0.0941170004069022,NA
"58","Daegu","30",2000,225032,0.0889854452376424,NA
"59","Daegu","35",2000,230602,0.0911880161163337,NA
"60","Daegu","40",2000,222393,0.0879418932540039,NA
"61","Daegu","45",2000,166299,0.0657603832236068,NA
"62","Daegu","50",2000,132119,0.052244427634079,NA
"63","Daegu","55",2000,104867,0.0414680431482449,NA
"64","Daegu","60",2000,89583,0.0354242202918861,NA
"65","Daegu","65",2000,63988,0.0253030709848655,NA
"66","Daegu","70",2000,39958,0.0158007768708704,NA
"67","Daegu","75",2000,25205,0.00996692980204938,NA
"68","Daegu","80",2000,18933,0.00748676381440988,NA
"69","Incheon","0",2000,188259,0.0746330370883684,NA
"70","Incheon","5",2000,217231,0.0861186412322564,NA
"71","Incheon","10",2000,184221,0.0730322201087668,NA
"72","Incheon","15",2000,200034,0.0793010955169989,NA
"73","Incheon","20",2000,187221,0.0742215343580993,NA
"74","Incheon","25",2000,227863,0.0903335709318911,NA
"75","Incheon","30",2000,248363,0.0984605516356639,NA
"76","Incheon","35",2000,270847,0.107374065496329,NA
"77","Incheon","40",2000,238719,0.0946373027621427,NA
"78","Incheon","45",2000,149962,0.0594506478194716,NA
"79","Incheon","50",2000,111638,0.0442575547223308,NA
"80","Incheon","55",2000,86711,0.0343755426246263,NA
"81","Incheon","60",2000,73802,0.0292579234097481,NA
"82","Incheon","65",2000,56072,0.0222290761961925,NA
"83","Incheon","70",2000,37418,0.0148339201938424,NA
"84","Incheon","75",2000,25213,0.00999539338947425,NA
"85","Incheon","80",2000,18888,0.00748792251379803,NA
"86","Gwangju","0",2000,107585,0.0778233337625305,NA
"87","Gwangju","5",2000,112897,0.081665854085499,NA
"88","Gwangju","10",2000,97978,0.0708739563636679,NA
"89","Gwangju","15",2000,130864,0.0946625714504791,NA
"90","Gwangju","20",2000,132890,0.0961281110164305,NA
"91","Gwangju","25",2000,134751,0.0974742951883139,NA
"92","Gwangju","30",2000,123790,0.0895454801920681,NA
"93","Gwangju","35",2000,119380,0.0863554360233387,NA
"94","Gwangju","40",2000,110986,0.0802835016123829,NA
"95","Gwangju","45",2000,77747,0.0562395383188684,NA
"96","Gwangju","50",2000,65814,0.0476076115466578,NA
"97","Gwangju","55",2000,49925,0.0361140487809112,NA
